suite,benchmark,qasm_path,machine,ions_per_region,mapper,reorder,serial_trap_ops,serial_comm,serial_all,gate_type,swap_type,sched_family,sched_version,analyzer_mode,architecture_scale,trap_capacity,lookahead_k,swap_threshold,max_qubits_per_qccd,num_optical_zones,enable_swap_insert,notes,return_code,log_path,wallclock_s,scheduler_build_s,program,summary_machine,summary_version,summary_mapper,total_shuttle,execution_time_us,fidelity,version,scale,num_modules,remote_gate_count,compile_time_s,logical_shuttle_count,physical_shuttle_leg_count,split_count,merge_count,move_count,local_1q_count,local_2q_count,operation_local_2q_count,optical_local_2q_count,storage_local_2q_count,remote_2q_count,fiber_gate_count,regular_fiber_gate_count,swap_insert_gate_count,swap_insert_logical_count,local_1q_time,local_2q_time,operation_local_2q_time,optical_local_2q_time,storage_local_2q_time,fiber_gate_time,swap_insert_time,split_time_total,move_time_total,merge_time_total,shuttle_time_total,gate_mult,regular_gate_mult,swap_insert_gate_mult,operation_local_2q_mult,optical_local_2q_mult,shuttle_mult
capacity_sweep,BV128,programs\BV128.qasm,EML,12,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,12,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__BV128__EML__cap12__k8__T4__oz1__SABRE__MUSSV7.log,3.108497,0.004513,programs\BV128,EML,V7,SABRELarge,79,24958.0,0.2844832737346409,V7,LARGE,4,13,0.093063,79,79,79,79,122,257,123,76,47,0,13,13,4,9,3,1285.0,4920.0,3040.0,1880.0,0.0,2600.0,1800.0,9400.0,1708.0,6320.0,17428.0,0.4273363471156693,0.46779231403983074,0.9135172474836407,0.6513508305968703,0.767112851474221,0.6657127942773348
capacity_sweep,BV128,programs\BV128.qasm,EML,14,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,14,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__BV128__EML__cap14__k8__T4__oz1__SABRE__MUSSV7.log,2.861166,0.004545,programs\BV128,EML,V7,SABRELarge,47,17886.0,0.26055077630505835,V7,LARGE,4,13,0.096154,47,47,47,47,74,257,123,68,55,0,13,13,4,9,3,1285.0,4920.0,2720.0,2200.0,0.0,2600.0,1800.0,5560.0,1036.0,3760.0,10356.0,0.33230637305387445,0.36376584456313255,0.9135172474836407,0.5929600514923702,0.6552659960371939,0.7840679488347244
capacity_sweep,BV128,programs\BV128.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__BV128__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log,2.465627,0.004916,programs\BV128,EML,V7,SABRELarge,15,10694.0,0.23012031026656377,V7,LARGE,4,13,0.089528,15,15,15,15,26,257,123,60,63,0,13,13,4,9,3,1285.0,4920.0,2400.0,2520.0,0.0,2600.0,1800.0,1600.0,364.0,1200.0,3164.0,0.24844172669609052,0.271961725277157,0.9135172474836407,0.5471566423907612,0.5309055429551132,0.9262546727831309
capacity_sweep,BV128,programs\BV128.qasm,EML,18,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,18,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__BV128__EML__cap18__k8__T4__oz1__SABRE__MUSSV7.log,2.456527,0.004646,programs\BV128,EML,V7,SABRELarge,7,8926.0,0.21442542954522542,V7,LARGE,4,13,0.087722,7,7,7,7,14,257,123,56,67,0,13,13,4,9,3,1285.0,4920.0,2240.0,2680.0,0.0,2600.0,1800.0,640.0,196.0,560.0,1396.0,0.2222173427639685,0.2432546767738482,0.9135172474836407,0.6099592112097925,0.4259724899080469,0.9649356205873659
capacity_sweep,BV128,programs\BV128.qasm,EML,20,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,20,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__BV128__EML__cap20__k8__T4__oz1__SABRE__MUSSV7.log,2.628724,0.004603,programs\BV128,EML,V7,SABRELarge,7,8926.0,0.18431631773282142,V7,LARGE,4,13,0.100508,7,7,7,7,14,257,123,48,75,0,13,13,4,9,3,1285.0,4920.0,1920.0,3000.0,0.0,2600.0,1800.0,640.0,196.0,560.0,1396.0,0.1910141089212006,0.2090974302317388,0.9135172474836407,0.7276569523274088,0.3069327003245431,0.9649356205873659
capacity_sweep,GHZ128,programs\GHZ128.qasm,EML,12,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,12,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__GHZ128__EML__cap12__k8__T4__oz1__SABRE__MUSSV7.log,2.790296,0.000610,programs\GHZ128,EML,V7,SABRELarge,101,27668.0,0.29171009020633093,V7,LARGE,4,6,0.033110,101,101,101,101,142,1,121,72,49,0,6,6,6,0,0,5.0,4840.0,2880.0,1960.0,0.0,1200.0,0.0,11560.0,1988.0,8080.0,21628.0,0.47570922330455806,0.47570922330455806,1.0,0.6662146573182979,0.7585071038252023,0.61321091943507
capacity_sweep,GHZ128,programs\GHZ128.qasm,EML,14,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,14,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__GHZ128__EML__cap14__k8__T4__oz1__SABRE__MUSSV7.log,2.452288,0.000383,programs\GHZ128,EML,V7,SABRELarge,73,21452.0,0.2635737356410459,V7,LARGE,4,6,0.019506,73,73,73,73,98,1,121,64,57,0,6,6,6,0,0,5.0,4840.0,2560.0,2280.0,0.0,1200.0,0.0,8200.0,1372.0,5840.0,15412.0,0.37143816517626327,0.37143816517626327,1.0,0.6114724299139696,0.6452706459625347,0.7096032673862941
capacity_sweep,GHZ128,programs\GHZ128.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__GHZ128__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log,2.432307,0.000391,programs\GHZ128,EML,V7,SABRELarge,53,16884.0,0.21598423305934045,V7,LARGE,4,6,0.016995,53,53,53,53,86,1,121,57,64,0,6,6,6,0,0,5.0,4840.0,2280.0,2560.0,0.0,1200.0,0.0,5400.0,1204.0,4240.0,10844.0,0.27901418437620024,0.27901418437620024,1.0,0.5639051904523876,0.525596487525562,0.7740976808839382
capacity_sweep,GHZ128,programs\GHZ128.qasm,EML,18,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,18,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__GHZ128__EML__cap18__k8__T4__oz1__SABRE__MUSSV7.log,2.356076,0.000434,programs\GHZ128,EML,V7,SABRELarge,15,9340.0,0.22883988290781843,V7,LARGE,4,6,0.011906,15,15,15,15,30,1,121,54,67,0,6,6,6,0,0,5.0,4840.0,2160.0,2680.0,0.0,1200.0,0.0,1680.0,420.0,1200.0,3300.0,0.24895331370126014,0.24895331370126014,1.0,0.6208241790419756,0.4259724899080469,0.9192080213980296
capacity_sweep,GHZ128,programs\GHZ128.qasm,EML,20,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,20,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__GHZ128__EML__cap20__k8__T4__oz1__SABRE__MUSSV7.log,2.394515,0.000523,programs\GHZ128,EML,V7,SABRELarge,15,9340.0,0.19584137052200515,V7,LARGE,4,6,0.015953,15,15,15,15,30,1,121,46,75,0,6,6,6,0,0,5.0,4840.0,1840.0,3000.0,0.0,1200.0,0.0,1680.0,420.0,1200.0,3300.0,0.21305446206197026,0.21305446206197026,1.0,0.7373602776193021,0.3069327003245431,0.9192080213980296
capacity_sweep,SQRT117,programs\SQRT117.qasm,EML,12,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,12,8,4,32,1,1,capacity_sweep_medium,0,output_large\logs\capacity_sweep__SQRT117__EML__cap12__k8__T4__oz1__SABRE__MUSSV7.log,61.541086,0.009371,programs\SQRT117,EML,V7,SABRELarge,234,261576.0,5.064110572293748e-07,V7,LARGE,4,911,6.418173,234,234,234,234,389,2191,688,55,633,0,911,911,911,0,0,10955.0,27520.0,2200.0,25320.0,0.0,182200.0,0.0,27680.0,5446.0,18720.0,51846.0,1.75000435291987e-06,1.75000435291987e-06,1.0,0.7332647950590616,0.028136799450391294,0.28937702719678043
